features_ID,bedrooms,squareFootage,bathrooms,lotSize,features
53,2.0,1230.0,2.0,1210.0,"{'architectureType': 'Condo / Apartment', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'floorCount': 1, 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Tile', 'roomCount': 4, 'unitCount': 1}"
54,3.0,1095.0,2.0,7500.0,"{'exteriorType': 'Concrete Block', 'floorCount': 1, 'garage': True, 'garageType': 'Garage', 'roofType': 'Other', 'unitCount': 1}"
55,2.0,1950.0,2.0,13927.0,"{'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Brick', 'fireplace': True, 'fireplaceType': 'Prefab', 'floorCount': 2, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Shingle', 'roomCount': 4, 'unitCount': 1}"
56,0.0,0.0,0.0,0.0,{}
57,4.0,1944.0,3.0,0.0,unknown
58,4.0,1862.0,2.0,8026.0,"{'architectureType': 'Duplex Single', 'exteriorType': 'Aluminum / Vinyl Siding', 'floorCount': 2, 'heating': True, 'heatingType': 'Hot Water', 'roofType': 'Asphalt', 'roomCount': 8, 'unitCount': 2}"
59,2.0,707.0,1.0,7440.0,"{'architectureType': 'Cottage', 'exteriorType': 'Aluminum / Vinyl Siding', 'floorCount': 1, 'heating': True, 'heatingType': 'Forced Air', 'roomCount': 5, 'unitCount': 1}"
60,5.0,3191.0,4.0,9105.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'floorCount': 2, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageType': 'Mixed', 'roofType': 'Tile'}"
61,3.0,1969.0,2.0,15769.0,"{'architectureType': 'Split Level', 'exteriorType': 'Siding', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageSpaces': 2, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Baseboard', 'roomCount': 6, 'unitCount': 1}"
62,3.0,1950.0,2.0,9148.0,"{'architectureType': 'Ranch', 'cooling': True, 'coolingType': 'Package', 'exteriorType': 'Aluminum / Vinyl Siding', 'floorCount': 1, 'foundationType': 'Footing', 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roofType': 'Composition Shingle', 'unitCount': 1}"
63,4.0,2088.0,2.0,4500.0,"{'cooling': True, 'coolingType': 'Central', 'fireplace': True, 'fireplaceType': 'Single', 'floorCount': 2, 'garage': True, 'garageSpaces': 2, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'unitCount': 1}"
64,0.0,0.0,0.0,0.0,{}
65,3.0,1690.0,2.0,10890.0,"{'architectureType': 'French Provincial', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Brick', 'fireplace': True, 'floorCount': 1, 'foundationType': 'Slab / Mat / Raft', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Asphalt'}"
66,4.0,3172.0,2.5,10193.0,"{'architectureType': 'Modern', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Wood', 'fireplace': True, 'fireplaceType': 'Prefab', 'floorCount': 2, 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'roomCount': 8, 'unitCount': 1}"
67,0.0,0.0,0.0,0.0,{}
68,0.0,2292.0,2.5,5390.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Composition', 'fireplace': True, 'floorCount': 2, 'foundationType': 'OTHER', 'garage': True, 'garageType': 'Mixed', 'heating': True, 'heatingType': 'Central', 'roofType': 'Shingle', 'roomCount': 8, 'unitCount': 1}"
69,4.0,1883.0,3.0,5760.0,"{'architectureType': 'Modern', 'cooling': True, 'coolingType': 'Central', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageSpaces': 3, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roofType': 'Tile', 'roomCount': 7, 'unitCount': 1}"
70,0.0,0.0,0.0,0.0,{}
71,4.0,1340.0,2.0,4550.0,"{'architectureType': 'Cape Cod', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Aluminum / Vinyl Siding', 'fireplace': True, 'floorCount': 2, 'foundationType': 'Raised', 'heating': True, 'heatingType': 'Heat Pump', 'roofType': 'Composition Shingle', 'roomCount': 6, 'unitCount': 1}"
72,3.0,2763.0,2.5,7599.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Aluminum / Vinyl Siding', 'fireplace': True, 'fireplaceType': 'Single', 'floorCount': 2, 'foundationType': 'Raised', 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Asphalt', 'unitCount': 1}"
73,3.0,1087.0,1.0,9765.0,"{'cooling': True, 'coolingType': 'Central', 'floorCount': 1, 'garage': True, 'garageType': 'Garage', 'roomCount': 5, 'unitCount': 1}"
74,3.0,1200.0,2.0,39640.0,"{'architectureType': 'Ranch / Rambler', 'exteriorType': 'Brick', 'floorCount': 1, 'foundationType': 'Other', 'heating': True, 'heatingType': 'Hot Water', 'roofType': 'Asphalt', 'roomCount': 6, 'unitCount': 1}"
75,0.0,0.0,0.0,0.0,{}
76,1.0,708.0,1.0,99888.0,"{'architectureType': 'Condo / Apartment', 'unitCount': 1}"
77,5.0,3025.0,2.5,14196.0,"{'exteriorType': 'Wood', 'floorCount': 2, 'garage': True, 'garageSpaces': 2, 'garageType': 'Garage', 'unitCount': 1}"
78,3.0,1545.0,2.0,7196.0,"{'cooling': True, 'coolingType': 'Central', 'floorCount': 1, 'garage': True, 'garageSpaces': 2, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Central', 'unitCount': 1}"
79,4.0,2492.0,2.5,8019.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick / Stone', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageType': 'Attached', 'roofType': 'Shingle', 'unitCount': 1}"
80,4.0,1860.0,3.5,871.0,"{'architectureType': 'Townhouse', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stone', 'fireplace': True, 'fireplaceType': 'Prefab', 'floorCount': 2, 'garage': True, 'garageType': 'Basement', 'heating': True, 'heatingType': 'Forced Air', 'roomCount': 7, 'unitCount': 1}"
